Wall time,Step,Value
1731345733.4166152,43,0.0
1731345810.5037942,46,0.0
1731346643.8364987,72,0.0
1731347056.5112188,95,0.0
1731349150.9796112,159,0.0
1731349411.2635543,168,0.0
1731351473.1611369,230,0.0
1731351573.9841847,235,0.0
1731352094.1189804,256,0.0
1731352371.7498949,274,0.0
1731382831.023884,309,0.0
1731382872.4391077,311,0.0
1731382981.2220726,319,0.0
1731384611.148179,422,0.0
1731384969.2955072,461,0.0
1731385247.8916225,475,0.0
1731386228.0453887,537,0.0
1731386731.1898804,580,0.0
1731386840.266366,587,0.0
1731387777.2571993,635,0.0
1731388082.1570272,648,0.0
1731388831.0549455,672,0.0
1731389652.2320838,715,0.0
1731389856.7504282,723,0.0
1731390654.6166036,772,0.0
1731390957.0510473,786,0.0
1731391279.1133597,803,0.0
1731391379.4162943,809,0.0
1731391821.4192388,837,0.0
1731393228.3637145,946,0.0
1731393589.0558095,972,0.0
1731394082.4808655,1015,0.0
1731394911.3987508,1067,0.0
1731395452.9030533,1105,0.0
1731396457.2293837,1181,0.0
1731397836.7214243,1262,0.0
1731398636.1231108,1317,0.0
1731398641.9854963,1320,0.0
1731398783.8997638,1334,0.0
1731398821.5938277,1338,0.0
1731399570.2344828,1386,0.0
1731399601.3851678,1393,0.0
1731400159.368703,1437,0.0
1731400614.5550838,1467,0.0
1731401267.048211,1524,0.0
1731401739.263175,1553,0.0
1731402053.9482758,1569,0.0
1731402230.405584,1585,0.0
1731402922.818959,1641,0.0
1731403516.766673,1692,0.0
1731403785.3214095,1710,0.0
1731403851.1605544,1719,0.0
1731404013.7951715,1735,0.0
1731404049.095961,1738,0.0
1731404640.714573,1782,0.0
1731405389.882992,1845,0.0
1731405672.4402797,1867,0.0
1731405687.5954828,1870,0.0
1731405751.7674432,1878,0.0
1731406090.4777508,1918,0.0
1731406272.0959992,1935,0.0
1731406409.9368103,1948,0.0
1731407503.5562372,2037,0.0
1731408323.0784497,2097,0.0
1731409904.7000208,2188,0.0
1731410014.6627483,2200,0.0
1731415422.4072995,2232,0.0
1731415499.0081081,2238,0.0
1731416263.6928399,2258,0.0
1731416475.5444572,2263,0.0
1731422226.4012449,2308,0.0
1731422332.523321,2320,0.0
1731422843.224812,2355,0.0
1731423318.241169,2390,0.0
1731423321.7725074,2391,0.0
1731423949.5707004,2437,0.0
1731424304.7548447,2454,0.0
1731424390.8007975,2456,0.0
1731424537.817622,2461,0.0
1731424835.2030284,2486,0.0
1731424876.0090585,2487,0.0
1731424969.6098473,2499,0.0
1731425042.560311,2504,0.0
1731425439.6922994,2533,0.0
1731425653.9309616,2548,0.0
1731425802.8116636,2554,0.0
1731427611.3555763,2686,0.0
1731428510.6125002,2741,0.0
1731429192.8429418,2790,0.0
1731430630.430027,2897,0.0
1731431756.5775518,2968,0.0
1731432535.2986693,3039,0.0
1731432566.1525717,3042,0.0
1731433517.350208,3100,0.0
1731434364.4461005,3162,0.0
1731442287.4653916,3231,0.0
1731442582.5301642,3245,0.0
1731442657.9219146,3247,0.0
1731442666.900583,3248,0.0
1731445528.719357,3306,0.0
1731448044.4946153,3481,0.0
1731449456.1598337,3601,0.0
1731449598.0274136,3619,0.0
1731449639.822352,3621,0.0
1731450267.078645,3671,0.0
1731451077.6684718,3742,0.0
1731451688.0330195,3794,0.0
1731451995.1454263,3815,0.0
1731452112.6572294,3822,0.0
1731453299.3767443,3929,0.0
1731453522.0913801,3957,0.0
1731453903.2819479,3985,0.0
1731454291.0800278,4037,0.0
1731454888.4642472,4099,0.0
1731455754.5256946,4197,0.0
1731455994.1950455,4228,0.0
1731456070.223566,4233,0.0
1731456716.008385,4305,0.0
1731456855.5140073,4318,0.0
1731456866.7235684,4320,0.0
1731457534.1713476,4401,0.0
1731458363.912376,4493,0.0
1731458508.0623255,4510,0.0
1731458745.7870479,4531,0.0
1731459557.6274629,4629,0.0
1731459930.1474266,4665,0.0
1731459990.0673947,4669,0.0
1731460029.3270838,4677,0.0
