Episode,Reward,Actor_Loss,Critic_Loss,x_pos,Flag_Get,Total_Time
1,194.0,-0.04312222055159509,5056.3953857421875,303,0,8
2,1067.0,0.02526215650141239,1108.0838012695312,1428,0,268
3,192.0,-0.008678080281242728,5006.4310302734375,307,0,7
4,582.0,-0.004878329345956445,4260.428466796875,721,0,35
5,584.5,-0.01763772452250123,5190.415283203125,718,0,31
6,567.5,-0.021738878451287746,3006.712921142578,696,0,23
7,588.5,-0.0200783833861351,7933.4295654296875,722,0,31
8,720.5,-0.01866903482005,4135.091003417969,860,0,40
9,197.0,-0.028529200237244368,6794.27587890625,308,0,9
10,653.5,-0.0008029201999306679,2179.341522216797,859,0,101
11,668.5,-0.018395582679659128,2050.544677734375,847,0,79
12,861.0,-0.02176682511344552,1333.9011840820312,1130,0,173
13,627.5,-0.017117385752499104,1815.1064147949219,818,0,86
14,182.0,-0.026625636499375105,3877.8948364257812,299,0,11
15,1117.0,-0.022477335762232542,1158.6908874511719,1520,0,305
16,188.0,-0.004120218101888895,5353.4263916015625,302,0,7
17,659.5,-0.016400544438511133,3374.052490234375,816,0,51
18,559.0,-0.029586038552224636,3142.4075317382812,722,0,58
19,188.0,-0.027559577953070402,3819.3992309570312,301,0,11
20,576.5,-0.01687605632469058,8212.633056640625,698,0,18
21,178.0,-0.0008530048653483391,8720.341918945312,288,0,9
22,572.0,-0.019870373886078596,7841.2210693359375,706,0,28
23,568.5,-0.017226500902324915,3271.0658569335938,697,0,25
24,544.5,-0.016278448281809688,4791.7142333984375,676,0,32
25,560.0,-0.025274793151766062,6039.1312255859375,696,0,29
26,1149.5,-0.020344914868474007,1423.7318115234375,1443,0,203
27,549.5,-0.018890703096985817,6554.13525390625,675,0,22
28,959.5,-0.01985153742134571,2893.4598999023438,1139,0,80
29,177.0,-0.030426062177866697,8472.578125,293,0,9
30,565.0,-0.018270815256983042,8990.196533203125,687,0,19
31,177.0,-0.038335791788995266,6418.19921875,292,0,8
32,539.5,-0.017814270220696926,3170.0664672851562,693,0,50
33,1294.5,-0.019029140938073397,2888.4595336914062,1500,0,113
34,584.5,-0.011855670716613531,4964.2982177734375,721,0,34
35,192.0,-0.03427405375987291,6674.7449951171875,302,0,8
36,750.0,-0.021135456394404173,4136.7265625,898,0,48
37,642.0,-0.015589076559990644,3185.4458618164062,805,0,67
38,382.5,-0.01903828652575612,1054.9656219482422,804,0,317
39,576.5,-0.023221409879624844,5226.6876220703125,698,0,22
40,731.0,-0.03045349195599556,2841.9581909179688,892,0,67
41,588.5,-0.0075831166468560696,4755.2412109375,721,0,35
42,186.0,-0.059266166761517525,8060.79638671875,300,0,8
43,172.0,-0.04094966780394316,5154.0740966796875,287,0,9
44,182.0,-0.01213809591718018,4109.931457519531,293,0,8
45,698.5,-0.009610632434487343,2305.9432983398438,865,0,62
46,634.5,0.0015754494816064835,2632.3572998046875,798,0,60
47,678.5,-0.005493891658261418,1582.7599792480469,898,0,127
48,174.0,0.0015432476066052914,6004.562255859375,284,0,8
49,577.5,-0.019180997274816036,6057.39990234375,701,0,19
50,699.5,-0.01917567290365696,3155.0927124023438,895,0,93
51,583.0,-0.016344337724149227,5192.9971923828125,722,0,34
52,529.5,-0.020664602052420378,6500.193359375,667,0,33
53,201.0,-0.029668151400983334,6541.957763671875,311,0,7
54,1233.0,-0.020866092294454575,3255.3282470703125,1420,0,94
55,681.0,-0.018068198580294847,2062.8109436035156,895,0,115
56,538.5,-0.01623793365433812,3537.7394409179688,672,0,29
57,511.0,-0.01989240339025855,2728.8689575195312,662,0,54
58,584.0,-0.022439290769398212,1038.0794372558594,860,0,169
59,746.5,-0.018484446220099926,3773.0602416992188,897,0,58
60,181.0,-0.03710459917783737,4406.425048828125,292,0,8
61,163.0,-0.025863264221698046,4410.207275390625,275,0,10
62,686.5,-0.024013009387999773,1928.2810363769531,884,0,101
63,171.0,-0.009103972231969237,2676.2574462890625,287,0,9
64,611.0,-0.019650002475827932,1584.0096435546875,876,0,165
65,201.0,0.006965738721191883,4041.3768310546875,311,0,8
66,141.0,-0.025459821801632643,3687.6810302734375,259,0,12
67,174.0,-0.028727776370942593,3746.5070190429688,285,0,10
68,181.0,-0.019659750163555145,4052.01904296875,296,0,9
69,669.5,-0.014209702610969543,5721.783447265625,804,0,36
70,179.0,-0.03148084320127964,4792.6053466796875,295,0,9
71,852.0,-0.004961198894307017,1198.3480224609375,1134,0,191
72,1054.0,-0.005223118234425783,1143.5629272460938,1415,0,271
73,189.0,-0.019116648007184267,3970.7761840820312,303,0,8
74,185.0,-0.0036257936153560877,3925.156494140625,294,0,8
75,546.0,-0.01973106199875474,6325.8287353515625,675,0,22
76,535.0,-0.021327571012079716,5473.2041015625,666,0,25
77,544.0,-0.01556323654949665,4871.1217041015625,673,0,26
78,169.0,-0.02539615985006094,4539.918273925781,286,0,15
79,724.0,-0.02082445938140154,3302.9417724609375,889,0,63
80,1234.0,-0.0171650811098516,2749.5443725585938,1407,0,72
81,753.0,-0.011168671771883965,3535.8674926757812,895,0,42
82,575.0,-0.020833815913647413,4372.829833984375,703,0,26
83,182.0,-0.01664134208112955,9639.189208984375,297,0,8
84,183.0,-0.024422246497124434,6223.8623046875,293,0,8
85,574.0,-0.026473377365618944,7788.1048583984375,696,0,21
86,181.0,-0.040941967628896236,4740.6136474609375,296,0,9
87,745.5,-0.009419492213055491,3815.9400024414062,897,0,55
88,575.0,0.0029150801710784435,3629.8554077148438,722,0,47
89,695.0,-0.021431155502796173,2375.9202880859375,846,0,50
90,184.0,-0.01364012761041522,6283.9256591796875,300,0,8
91,179.0,-0.018926876597106457,5169.6279296875,293,0,8
92,647.5,-0.024280039593577385,1495.1869812011719,870,0,117
93,717.0,-0.020279475953429937,1965.7864074707031,854,0,65
94,175.0,-0.04036228731274605,4284.1375732421875,291,0,9
95,581.5,-0.01952299103140831,3736.5139770507812,715,0,36
96,581.5,-0.01521922624669969,5297.2916259765625,706,0,20
97,197.0,-0.03073812322691083,6035.20751953125,309,0,9
98,167.0,0.012619382701814175,5558.7413330078125,285,0,10
99,579.5,-0.025298363529145718,5461.297607421875,706,0,21
100,675.5,-0.018552356399595737,2001.7975463867188,898,0,125
101,180.0,-0.014845361467450857,4378.462890625,296,0,9
102,587.5,-0.019683988764882088,6359.93505859375,722,0,32
103,646.5,-0.021198628935962915,1505.6540832519531,867,0,122
104,170.0,-0.028777964878827333,4074.1644897460938,286,0,9
105,559.0,-0.00484785670414567,4606.8814697265625,689,0,24
106,766.0,-0.01258526649326086,5897.93798828125,898,0,37
107,575.5,-0.02171589620411396,7792.640380859375,698,0,17
108,645.0,-0.017939475364983082,2752.0236206054688,898,0,158
109,180.0,-0.00363569101318717,7218.80615234375,297,0,9
110,573.5,-0.02048409217968583,4006.1527099609375,708,0,36
111,139.0,-0.01909895334392786,6186.4630126953125,250,0,12
112,182.0,-0.02559777908027172,4871.18896484375,294,0,7
113,194.0,-0.017867919523268938,3298.1655883789062,306,0,9
114,682.5,-0.017891036346554756,1543.5423583984375,898,0,123
115,748.5,-0.024093025363981724,3696.2655029296875,897,0,51
116,196.0,-0.03133767703548074,4000.79931640625,311,0,8
117,148.0,-0.006904729409143329,4414.575439453125,262,0,13
118,708.0,-0.01660503400489688,2096.4727172851562,898,0,90
119,197.0,-0.012356308521702886,4083.1573486328125,307,0,7
120,644.0,-0.019749612547457218,1395.5845031738281,898,0,159
121,193.0,-0.032306499779224396,5204.0999755859375,305,0,6
122,182.0,-0.03962813876569271,5822.9383544921875,295,0,8
123,165.0,-0.00988186220638454,3371.17333984375,278,0,11
124,566.0,-0.025665090419352055,4220.0550537109375,690,0,23
125,926.5,-0.01010472234338522,2195.2802734375,1134,0,108
126,570.0,-0.010059785796329379,3296.3289794921875,722,0,47
127,714.5,-0.019716390408575535,3743.5089721679688,879,0,67
128,585.0,-0.026117932051420212,5701.6705322265625,722,0,32
129,183.0,-0.013007714878767729,6398.540283203125,293,0,8
130,178.0,-0.0317574692890048,4579.0496826171875,290,0,10
131,190.0,-0.020356222055852413,3873.86328125,301,0,8
132,964.5,-0.020676827523857355,2969.6361694335938,1125,0,62
133,547.0,-0.023794498294591904,3912.3497924804688,678,0,24
134,850.0,-0.020222495775669813,1817.6766357421875,1136,0,189
135,191.0,-0.03910755179822445,6743.45166015625,304,0,7
136,193.0,-0.06398047134280205,5908.4072265625,306,0,7
137,568.5,0.011870665941387415,7381.401123046875,686,0,18
138,1042.0,0.00675460509955883,1767.6790161132812,1421,0,292
139,187.0,-0.0017622103914618492,5069.5482177734375,302,0,8
140,915.5,-0.009646154940128326,1714.3321228027344,1140,0,135
141,549.0,-0.023343206383287907,4021.3277587890625,680,0,35
142,552.0,-0.020069786347448826,1139.2317504882812,847,0,198
143,574.0,-0.019765619188547134,2816.5755004882812,721,0,53
144,174.0,-0.024713838938623667,5267.541015625,289,0,8
145,1338.5,-0.021075584460049868,2701.1881103515625,1518,0,79
146,178.0,-0.01158221298828721,5233.01953125,292,0,8
147,601.0,-0.020242092665284872,5704.2232666015625,722,0,21
148,176.0,-0.023996111005544662,6013.919677734375,287,0,9
149,573.0,-0.021759255789220333,4734.3896484375,708,0,33
150,456.5,-0.018975692335516214,1024.84228515625,804,0,247
151,624.0,-0.020013087429106236,1619.8580932617188,842,0,117
152,416.5,-0.01888809772208333,723.0717620849609,833,0,318
153,564.5,-0.02234291797503829,7036.8968505859375,689,0,20
154,171.0,-0.020686327014118433,3886.99609375,288,0,10
155,593.5,-0.021558428648859262,1065.8126373291016,871,0,178
156,192.0,-0.010395970661193132,3856.0108032226562,308,0,9
157,171.0,-0.015073397429659963,3141.2103881835938,288,0,10
158,698.0,-0.022508306428790092,3164.8617553710938,868,0,68
159,567.0,-0.027420140337198973,6477.6937255859375,694,0,20
160,966.5,-0.022183538414537907,2297.2176513671875,1128,0,73
161,639.5,-0.016758105251938105,1822.6676330566406,845,0,106
162,181.0,-0.01802154630422592,6676.0894775390625,296,0,8
163,545.5,-0.01617410173639655,9096.90966796875,670,0,20
164,174.0,-0.03175877872854471,4415.02783203125,289,0,9
165,201.0,-0.01567947748117149,4647.6605224609375,314,0,7
166,1698.5,-0.018582399934530258,3262.3019409179688,1937,0,160
167,190.0,-0.022051785606890917,4733.3599853515625,303,0,7
168,546.0,-0.01123871118761599,3499.5799560546875,676,0,28
169,726.0,-0.01870154310017824,3255.9892578125,898,0,72
170,192.0,-0.012605312513187528,4752.20458984375,303,0,8
171,572.0,-0.014378983294591308,3147.6756591796875,706,0,26
172,140.0,-0.024565575644373894,6218.5504150390625,257,0,12
173,180.0,-0.014962793560698628,3730.876953125,296,0,9
174,164.0,-0.027023836504667997,4315.1597900390625,275,0,10
175,188.0,-0.018210224341601133,4651.9886474609375,299,0,8
176,200.0,-0.026672044303268194,3778.1368408203125,314,0,6
177,1147.5,-0.02384030632674694,1419.8144226074219,1507,0,266
178,707.5,-0.019374132622033358,2519.4915161132812,898,0,98
